name	start	end	size	instruction_count	direct_calls	import_calls_or_refs	string_refs_sample
sub_00575730	0x575730	0x5759b0	640	195	sub_004028B0,sub_004028F0,sub_004029C0,sub_00566A30,sub_00578F70,sub_005A6CC0	KERNEL32.dll!FindResourceA,KERNEL32.dll!FreeResource,KERNEL32.dll!LoadResource,KERNEL32.dll!LockResource	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | ERROR: Cannot find dialog template named '%s'.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | ERROR: Cannot find dialog template with IDD 0x%04X.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | Warning: LoadResource failed for dialog template.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgcore.cpp | ERROR: Dialog named '%s' must be invisible.\n
sub_005759B0	0x5759b0	0x5759c0	16	8			
sub_005759C0	0x5759c0	0x5759f0	48	23	sub_00568A30,sub_00574140		
sub_005759F0	0x5759f0	0x575a10	32	20			
sub_00575A10	0x575a10	0x575a50	64	29			STATIC
sub_00575A50	0x575a50	0x575ab0	96	31	sub_0055DAF0,sub_0055E230		
sub_00575AB0	0x575ab0	0x575ae0	48	29	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575AE0	0x575ae0	0x575b40	96	39	sub_00561960,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575B40	0x575b40	0x575b80	64	29			BUTTON
sub_00575B80	0x575b80	0x575be0	96	31	sub_0055DAF0,sub_0055E230		
sub_00575BE0	0x575be0	0x575c30	80	41	sub_0056F3E0		
sub_00575C30	0x575c30	0x575c60	48	29	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575C60	0x575c60	0x575cc0	96	39	sub_00561960,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575CC0	0x575cc0	0x575d00	64	30			f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin1.inl | LISTBOX
sub_00575D00	0x575d00	0x575d60	96	31	sub_0055DAF0,sub_0055E230		
sub_00575D60	0x575d60	0x575d90	48	29	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575D90	0x575d90	0x575dc0	48	29	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575DC0	0x575dc0	0x575df0	48	28	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575DF0	0x575df0	0x575e00	16	10			
sub_00575E00	0x575e00	0x575e20	32	20	sub_0055CBB0		
sub_00575E20	0x575e20	0x575e40	32	20	sub_0055CBB0		
